provider_symbol,symbol,name,region,market_code,sector,industry
BNDS.AX,BNDS,Betashares Legg Mason Australian Bond Fund,australia,ASX,,
HCF.AX,HCF,H&G HIGH CONVICTION LIMITED,australia,ASX,,
KIT.AX,KIT,KAPSTREAM INVESTMENT TRUST,australia,ASX,,
LF1.AX,LF1,LA TROBE PRIVATE CREDIT FUND,australia,ASX,,
LGF.AX,LGF,L1 GOLD FUND LIMITED,australia,ASX,,
MRE.AX,MRE,METRICS REAL ESTATE MULTI-STRATEGY FUND,australia,ASX,,
PCI.AX,PCI,PERPETUAL CREDIT INCOME TRUST,australia,ASX,,
PCX.AX,PCX,PENGANA GLOBAL PRIVATE CREDIT TRUST,australia,ASX,,
PMGOLD.AX,PMGOLD,Gold Corporation,australia,ASX,,
RF1.AX,RF1,REGAL INVESTMENT FUND,australia,ASX,,
3BBLACKBIO.NS,3BBLACKBIO,3B Blackbio Dx Limited,india,NSE,,
AARNAV.NS,AARNAV,Aarnav Fashions Limited,india,NSE,,
AATMAJ.NS,AATMAJ,Aatmaj Healthcare Limited,india,NSE,,
ABANSENT.NS,ABANSENT,ABans Enterprises Limited,india,NSE,,
ABMKNO.NS,ABMKNO,ABM Knowledgeware Limited,india,NSE,,
ABSMARINE.NS,ABSMARINE,ABS Marine Services Limited,india,NSE,,
ACCENTMIC.NS,ACCENTMIC,Accent Microcell Limited,india,NSE,,
ACCORD.NS,ACCORD,Accord Synergy Limited,india,NSE,,
ACSTECH.NS,ACSTECH,ACS Technologies Limited,india,NSE,,
AGARWALFT.NS,AGARWALFT,Agarwal Float Glass India Limited,india,NSE,,
AGNI.NS,AGNI,Agni Green Power Limited,india,NSE,,
AGUL.NS,AGUL,A G Universal Limited,india,NSE,,
AHIMSA.NS,AHIMSA,Ahimsa Industries Limited,india,NSE,,
AILIMITED.NS,AILIMITED,Abhishek Integrations Limited,india,NSE,,
AIMTRON.NS,AIMTRON,Aimtron Electronics Limited,india,NSE,,
AISL.NS,AISL,ANI Integrated Services Limited,india,NSE,,
AKCAPIT.NS,AKCAPIT,AK Capital Services Limited,india,NSE,,
AKIKO.NS,AKIKO,Akiko Global Services Limited,india,NSE,,
ALLETEC.NS,ALLETEC,All E Technologies Limited,india,NSE,,
ALPEXSOLAR.NS,ALPEXSOLAR,Alpex Solar Limited,india,NSE,,
ALPSINDUS.NS,ALPSINDUS,Alps Industries Limited,india,NSE,,
ALUWIND.NS,ALUWIND,Aluwind Infra-Tech Limited,india,NSE,,
AMEYA.NS,AMEYA,Ameya Precision Engineers Limited,india,NSE,,
AMIABLE.NS,AMIABLE,Amiable Logistics (India) Limited,india,NSE,,
ANLON.NS,ANLON,Anlon Technology Solutions Limited,india,NSE,,
ANNAPURNA.NS,ANNAPURNA,Annapurna Swadisht Limited,india,NSE,,
APS.NS,APS,Australian Premium Solar (India) Limited,india,NSE,,
ARABIAN.NS,ARABIAN,Arabian Petroleum Limited,india,NSE,,
ARIHANTACA.NS,ARIHANTACA,Arihant Academy Limited,india,NSE,,
ARISTO.NS,ARISTO,Aristo Bio-Tech and Lifescience Limited,india,NSE,,
ARSSINFRA.NS,ARSSINFRA,ARSS Infrastructure Projects Limited,india,NSE,,
ARTEMISMED.NS,ARTEMISMED,Artemis Medicare Services Limited,india,NSE,,
ASCOM.NS,ASCOM,Ascom Leasing & Investments Limited,india,NSE,,
ASHIKAG.NS,ASHIKAG,Ashika Global Securities Limited,india,NSE,,
ASPIRE.NS,ASPIRE,Aspire & Innovative Advertising Limited,india,NSE,,
ASTAR.NS,ASTAR,Asian Star Company Limited,india,NSE,,
ATMASTCO.NS,ATMASTCO,Atmastco Limited,india,NSE,,
AUROIMPEX.NS,AUROIMPEX,Auro Impex & Chemicals Limited,india,NSE,,
AVPINFRA.NS,AVPINFRA,AVP Infracon Limited,india,NSE,,
AVSL.NS,AVSL,AVSL Industries Limited,india,NSE,,
BABAFP.NS,BABAFP,Baba Food Processing (India) Limited,india,NSE,,
BAHETI.NS,BAHETI,Baheti Recycling Industries Limited,india,NSE,,
BAJAJST.NS,BAJAJST,Bajaj Steel Industries Limited,india,NSE,,
BASILIC.NS,BASILIC,Basilic Fly Studio Limited,india,NSE,,
BAWEJA.NS,BAWEJA,Baweja Studios Limited,india,NSE,,
BEACON.NS,BEACON,Beacon Trusteeship Limited,india,NSE,,
BEEKAY.NS,BEEKAY,Beekay Steel Industries Limited,india,NSE,,
BENGALASM.NS,BENGALASM,Bengal & Assam Company Limited,india,NSE,,
BEWLTD.NS,BEWLTD,BEW Engineering Limited,india,NSE,,
BI.NS,BI,Bilcare Limited,india,NSE,,
BIRDYS.NS,BIRDYS,Grill Splendour Services Limited,india,NSE,,
BIRET.NS,BIRET,Brookfield India Real Estate Trust,india,NSE,,
BIRLAPREC.NS,BIRLAPREC,Birla Precision Technologies Limited,india,NSE,,
BLACKROSE.NS,BLACKROSE,Black Rose Industries Limited,india,NSE,,
BLIL.NS,BLIL,Balmer Lawrie Investments Limited,india,NSE,,
BLUEPEBBLE.NS,BLUEPEBBLE,Blue Pebble Limited,india,NSE,,
BMETRICS.NS,BMETRICS,Bombay Metrics Supply Chain Limited,india,NSE,,
BNAGROCHEM.NS,BNAGROCHEM,BN Agrochem Limited,india,NSE,,
BNALTD.NS,BNALTD,B & A Limited,india,NSE,,
