provider_symbol,symbol,sector,industry,source
1AD.AX,1AD,Healthcare,Biotechnology,
1AE.AX,1AE,Energy,Uranium,
1CG.AX,1CG,Technology,Software—Application,
1MC.AX,1MC,Basic Materials,Other Industrial Metals & Mining,
1TT.AX,1TT,Technology,Software—Application,
29M.AX,29M,Basic Materials,Other Precious Metals & Mining,
3DA.AX,3DA,Basic Materials,Other Industrial Metals & Mining,
3DP.AX,3DP,Technology,Software—Application,
3PL.AX,3PL,Consumer Defensive,Education & Training Services,
4DS.AX,4DS,Technology,,
4DX.AX,4DX,Healthcare,Medical Devices,
5GG.AX,5GG,Communication Services,Telecom Services,
5GN.AX,5GN,Technology,Information Technology Services,
6KA.AX,6KA,Basic Materials,Other Industrial Metals & Mining,
88E.AX,88E,Energy,Oil & Gas E&P,
8CO.AX,8CO,Technology,Software—Application,
8IH.AX,8IH,Consumer Defensive,Education & Training Services,
A1M.AX,A1M,Basic Materials,Other Precious Metals & Mining,
A1N.AX,A1N,Communication Services,Broadcasting,
A3D.AX,A3D,Industrials,Specialty Industrial Machinery,
A4N.AX,A4N,Basic Materials,Aluminum,
AAC.AX,AAC,Consumer Defensive,Farm Products,
AAJ.AX,AAJ,Basic Materials,Gold,
AAL.AX,AAL,Industrials,Conglomerates,
AAP.AX,AAP,Consumer Defensive,Farm Products,
AAU.AX,AAU,Basic Materials,Gold,
ABB.AX,ABB,Communication Services,Telecom Services,
ABE.AX,ABE,Financial Services,Capital Markets,
ABG.AX,ABG,Real Estate,REIT—Diversified,
ABR.AX,ABR,Basic Materials,Other Industrial Metals & Mining,
ABV.AX,ABV,Consumer Cyclical,Auto Parts,
ABX.AX,ABX,Basic Materials,Aluminum,
ABY.AX,ABY,Consumer Cyclical,Specialty Retail,
ACE.AX,ACE,Technology,Software—Infrastructure,
ACF.AX,ACF,Industrials,Engineering & Construction,
ACL.AX,ACL,Healthcare,Diagnostics & Research,
ACP.AX,ACP,Basic Materials,Other Industrial Metals & Mining,
ACR.AX,ACR,Healthcare,Biotechnology,
ACS.AX,ACS,Basic Materials,Other Industrial Metals & Mining,
ACU.AX,ACU,Real Estate,Real Estate Services,
ACW.AX,ACW,Healthcare,Biotechnology,
AD1.AX,AD1,Technology,Information Technology Services,
AD8.AX,AD8,Technology,Electronic Components,
ADD.AX,ADD,Energy,Uranium,
ADH.AX,ADH,Consumer Cyclical,Specialty Retail,
ADO.AX,ADO,Basic Materials,Specialty Chemicals,
ADR.AX,ADR,Healthcare,Medical Devices,
ADS.AX,ADS,Technology,Software—Infrastructure,
ADX.AX,ADX,Energy,Oil & Gas E&P,
AEF.AX,AEF,Financial Services,Asset Management,
AEG.AX,AEG,Financial Services,Capital Markets,
AEI.AX,AEI,Industrials,Pollution & Treatment Controls,
AEL.AX,AEL,Energy,Oil & Gas E&P,
AEM.AX,AEM,Basic Materials,Aluminum,
AER.AX,AER,Technology,Software—Application,
AEU.AX,AEU,Energy,Uranium,
AEV.AX,AEV,Basic Materials,Other Industrial Metals & Mining,
AFA.AX,AFA,Financial Services,Capital Markets,
AFG.AX,AFG,Financial Services,Mortgage Finance,
AFI.AX,AFI,Financial Services,Asset Management,
AFL.AX,AFL,Consumer Cyclical,Personal Services,
