provider_symbol,symbol,sector,industry,source
AIRARABIA.AE,AIRARABIA,Industrials,Airlines,
AJMANBANK.AE,AJMANBANK,Financial Services,Banks—Regional,
ALANSARI.AE,ALANSARI,Financial Services,Capital Markets,
ALEC.AE,ALEC,Industrials,Engineering & Construction,
ALFIRDOUS.AE,ALFIRDOUS,Consumer Cyclical,Restaurants,
ALRAMZ.AE,ALRAMZ,Financial Services,Capital Markets,
ALSALAMSUDAN.AE,ALSALAMSUDAN,Financial Services,Banks—Regional,
AMAN.AE,AMAN,Financial Services,Insurance—Diversified,
AMANAT.AE,AMANAT,Financial Services,Asset Management,
AMLAK.AE,AMLAK,Financial Services,Mortgage Finance,
ARMX.AE,ARMX,Industrials,Integrated Freight & Logistics,
BHMCAPITAL.AE,BHMCAPITAL,Financial Services,Capital Markets,
CBD.AE,CBD,Financial Services,Banks—Regional,
DEWA.AE,DEWA,Utilities,Utilities—Diversified,
DEYAAR.AE,DEYAAR,Real Estate,Real Estate—Development,
DFM.AE,DFM,Financial Services,Financial Data & Stock Exchanges,
DIB.AE,DIB,Financial Services,Banks—Regional,
DIC.AE,DIC,Real Estate,Real Estate—Development,
DNIR.AE,DNIR,Financial Services,Insurance—Diversified,
DRC.AE,DRC,Consumer Defensive,Beverages—Non-Alcoholic,
DSI.AE,DSI,Industrials,Engineering & Construction,
DTC.AE,DTC,Industrials,Railroads,
DU.AE,DU,Communication Services,Telecom Services,
DUBAIRESI.AE,DUBAIRESI,Real Estate,REIT—Residential,
EIBANK.AE,EIBANK,Financial Services,Banks—Regional,
EMAAR.AE,EMAAR,Real Estate,Real Estate—Development,
EMAARDEV.AE,EMAARDEV,Real Estate,Real Estate—Development,
EMIRATESNBD.AE,EMIRATESNBD,Financial Services,Banks—Regional,
EMPOWER.AE,EMPOWER,Utilities,Utilities—Regulated Water,
ERC.AE,ERC,Consumer Defensive,Beverages—Non-Alcoholic,
ETIHADENERGY.AE,ETIHADENERGY,Industrials,Marine Shipping,
MASQ.AE,MASQ,Financial Services,Banks—Regional,
NCC.AE,NCC,Basic Materials,Building Materials,
NGI.AE,NGI,Financial Services,Insurance—Diversified,
PARKIN.AE,PARKIN,Industrials,Infrastructure Operations,
SALAMA.AE,SALAMA,Financial Services,Insurance—Diversified,
SALIK.AE,SALIK,Industrials,Infrastructure Operations,
SHUAA.AE,SHUAA,Financial Services,Asset Management,
SPINNEYS.AE,SPINNEYS,Consumer Defensive,Grocery Stores,
SUKOON.AE,SUKOON,Financial Services,Insurance—Diversified,
SUKOONTAKAFL.AE,SUKOONTAKAFL,Financial Services,Insurance—Diversified,
TAALEEM.AE,TAALEEM,Consumer Defensive,Education & Training Services,
TABREED.AE,TABREED,Utilities,Utilities—Regulated Water,
TALABAT.AE,TALABAT,Consumer Cyclical,Internet Retail,
TECOM.AE,TECOM,Real Estate,Real Estate Services,
UFC.AE,UFC,Consumer Defensive,Packaged Foods,
UNIKAI.AE,UNIKAI,Consumer Defensive,Packaged Foods,
UNIONCOOP.AE,UNIONCOOP,Consumer Cyclical,Department Stores,
UPP.AE,UPP,Industrials,Conglomerates,
WATANIA.AE,WATANIA,Financial Services,Insurance—Diversified,
