provider_symbol,symbol,sector,industry,source
1010.SR,1010,Financial Services,,
1020.SR,1020,Financial Services,Banks—Regional,
1030.SR,1030,Financial Services,Banks—Regional,
1050.SR,1050,Financial Services,Banks—Regional,
1060.SR,1060,Financial Services,,
1080.SR,1080,Financial Services,Banks—Regional,
1111.SR,1111,Financial Services,Capital Markets,
1120.SR,1120,Financial Services,,
1140.SR,1140,Financial Services,Banks—Regional,
1150.SR,1150,Financial Services,,
1180.SR,1180,Financial Services,,
1182.SR,1182,Financial Services,Mortgage Finance,
1183.SR,1183,Financial Services,Mortgage Finance,
1201.SR,1201,Consumer Cyclical,Packaging & Containers,
1202.SR,1202,Basic Materials,Paper & Paper Products,
1210.SR,1210,Basic Materials,Chemicals,
1211.SR,1211,Basic Materials,,
1212.SR,1212,Industrials,Conglomerates,
1213.SR,1213,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
1214.SR,1214,Technology,Electronics & Computer Distribution,
1301.SR,1301,Industrials,Building Products & Equipment,
1302.SR,1302,Industrials,Building Products & Equipment,
1303.SR,1303,Industrials,Electrical Equipment & Parts,
1304.SR,1304,Basic Materials,Steel,
1320.SR,1320,Basic Materials,Steel,
1321.SR,1321,Basic Materials,Steel,
1322.SR,1322,Basic Materials,Other Precious Metals & Mining,
1323.SR,1323,Consumer Cyclical,Packaging & Containers,
1324.SR,1324,Industrials,Engineering & Construction,
1810.SR,1810,Consumer Cyclical,Travel Services,
1820.SR,1820,Consumer Cyclical,Lodging,
1830.SR,1830,Consumer Cyclical,Leisure,
1831.SR,1831,Industrials,Staffing & Employment Services,
1832.SR,1832,Industrials,Metal Fabrication,
1833.SR,1833,Industrials,Staffing & Employment Services,
1834.SR,1834,Industrials,Staffing & Employment Services,
1835.SR,1835,Industrials,Staffing & Employment Services,
2001.SR,2001,Basic Materials,Chemicals,
2010.SR,2010,Basic Materials,,
2020.SR,2020,Basic Materials,,
2030.SR,2030,Industrials,Conglomerates,
2040.SR,2040,Industrials,Building Products & Equipment,
2050.SR,2050,Consumer Defensive,Packaged Foods,
2060.SR,2060,Basic Materials,Chemicals,
2070.SR,2070,Healthcare,Drug Manufacturers—Specialty & Generic,
2080.SR,2080,Energy,Oil & Gas Integrated,
2081.SR,2081,Utilities,Utilities—Regulated Water,
2082.SR,2082,Utilities,Utilities—Diversified,
2083.SR,2083,Utilities,Utilities—Diversified,
2084.SR,2084,Industrials,Conglomerates,
2090.SR,2090,Basic Materials,Building Materials,
2100.SR,2100,Consumer Defensive,Packaged Foods,
2110.SR,2110,Industrials,Electrical Equipment & Parts,
2120.SR,2120,Industrials,Conglomerates,
2130.SR,2130,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
2140.SR,2140,Consumer Defensive,Packaged Foods,
2150.SR,2150,Consumer Cyclical,Packaging & Containers,
2160.SR,2160,Industrials,Building Products & Equipment,
2170.SR,2170,Basic Materials,Specialty Chemicals,
2180.SR,2180,Consumer Cyclical,Packaging & Containers,
2190.SR,2190,Industrials,Marine Shipping,
2200.SR,2200,Basic Materials,Steel,
2220.SR,2220,Basic Materials,Steel,
2222.SR,2222,Energy,,
2223.SR,2223,Energy,Oil & Gas Refining & Marketing,
2230.SR,2230,Healthcare,Drug Manufacturers—Specialty & Generic,
2240.SR,2240,Industrials,Building Products & Equipment,
2270.SR,2270,Consumer Defensive,Packaged Foods,
2280.SR,2280,Consumer Defensive,,
2281.SR,2281,Consumer Defensive,Packaged Foods,
2282.SR,2282,Consumer Defensive,Beverages—Non-Alcoholic,
2283.SR,2283,Consumer Defensive,Packaged Foods,
2284.SR,2284,Consumer Defensive,Packaged Foods,
2285.SR,2285,Consumer Defensive,Farm Products,
2286.SR,2286,Consumer Defensive,Farm Products,
2287.SR,2287,Consumer Defensive,Packaged Foods,
2288.SR,2288,Consumer Defensive,Grocery Stores,
2290.SR,2290,Basic Materials,Chemicals,
2300.SR,2300,Basic Materials,Paper & Paper Products,
2310.SR,2310,Basic Materials,Chemicals,
2320.SR,2320,Industrials,Engineering & Construction,
2330.SR,2330,Basic Materials,Chemicals,
2340.SR,2340,Consumer Cyclical,Textile Manufacturing,
