provider_symbol,symbol,sector,industry,source
ADA-USD,ADA,Crypto,,
APT-USD,APT,Crypto,,
ATOM-USD,ATOM,Crypto,,
AUDCAD=X,AUDCAD,Forex,,
AUDJPY=X,AUDJPY,Forex,,
AUDNZD=X,AUDNZD,Forex,,
AUDUSD=X,AUDUSD,Forex,,
AVAX-USD,AVAX,Crypto,,
BCH-USD,BCH,Crypto,,
BNB-USD,BNB,Crypto,,
BTC-USD,BTC,Crypto,,
BZ=F,BZ,Energy,,
CADJPY=X,CADJPY,Forex,,
CC=F,CC,Agriculture,,
CHFJPY=X,CHFJPY,Forex,,
CL=F,CL,Energy,,
CT=F,CT,Agriculture,,
DOGE-USD,DOGE,Crypto,,
DOT-USD,DOT,Crypto,,
ETC-USD,ETC,Crypto,,
ETH-USD,ETH,Crypto,,
EURAUD=X,EURAUD,Forex,,
EURCAD=X,EURCAD,Forex,,
EURCHF=X,EURCHF,Forex,,
EURGBP=X,EURGBP,Forex,,
EURJPY=X,EURJPY,Forex,,
EURNZD=X,EURNZD,Forex,,
EURUSD=X,EURUSD,Forex,,
FIL-USD,FIL,Crypto,,
GBPAUD=X,GBPAUD,Forex,,
GBPCAD=X,GBPCAD,Forex,,
GBPCHF=X,GBPCHF,Forex,,
GBPJPY=X,GBPJPY,Forex,,
GBPUSD=X,GBPUSD,Forex,,
GC=F,GC,Precious Metals,,
HG=F,HG,Industrial Metals,,
HO=F,HO,Energy,,
KC=F,KC,Agriculture,,
LE=F,LE,Agriculture,,
LINK-USD,LINK,Crypto,,
LTC-USD,LTC,Crypto,,
MATIC-USD,MATIC,Crypto,,
NG=F,NG,Energy,,
NZDJPY=X,NZDJPY,Forex,,
NZDUSD=X,NZDUSD,Forex,,
PA=F,PA,Precious Metals,,
PL=F,PL,Precious Metals,,
RB=F,RB,Energy,,
SB=F,SB,Agriculture,,
SI=F,SI,Precious Metals,,
SOL-USD,SOL,Crypto,,
TRX-USD,TRX,Crypto,,
USDAED=X,USDAED,Forex,,
USDBRL=X,USDBRL,Forex,,
USDCAD=X,USDCAD,Forex,,
USDCHF=X,USDCHF,Forex,,
USDCNY=X,USDCNY,Forex,,
USDHKD=X,USDHKD,Forex,,
USDINR=X,USDINR,Forex,,
USDJPY=X,USDJPY,Forex,,
USDMXN=X,USDMXN,Forex,,
USDPKR=X,USDPKR,Forex,,
USDQAR=X,USDQAR,Forex,,
USDSAR=X,USDSAR,Forex,,
USDSGD=X,USDSGD,Forex,,
USDTRY=X,USDTRY,Forex,,
USDZAR=X,USDZAR,Forex,,
XLM-USD,XLM,Crypto,,
XRP-USD,XRP,Crypto,,
ZC=F,ZC,Agriculture,,
ZS=F,ZS,Agriculture,,
ZW=F,ZW,Agriculture,,
^AXJO,^AXJO,Index,,
^BSESN,^BSESN,Index,,
^DJI,^DJI,Index,,
^FTSE,^FTSE,Index,,
^GDAXI,^GDAXI,Index,,
^GSPC,^GSPC,Index,,
^HSI,^HSI,Index,,
^IXIC,^IXIC,Index,,
^N225,^N225,Index,,
^NSEI,^NSEI,Index,,
^RUT,^RUT,Index,,
^TASI.SR,^TASI.SR,Index,,
