provider_symbol,symbol,sector,industry,source
20MICRONS.NS,20MICRONS,Basic Materials,Other Industrial Metals & Mining,
21STCENMGM.NS,21STCENMGM,Financial Services,Capital Markets,
360ONE.NS,360ONE,Financial Services,Asset Management,
3IINFOLTD.NS,3IINFOLTD,Technology,Information Technology Services,
3MINDIA.NS,3MINDIA,Industrials,Conglomerates,
5PAISA.NS,5PAISA,Financial Services,Capital Markets,
63MOONS.NS,63MOONS,Technology,Software—Application,
A2ZINFRA.NS,A2ZINFRA,Industrials,Engineering & Construction,
AAATECH.NS,AAATECH,Technology,Information Technology Services,
AADHARHFC.NS,AADHARHFC,Financial Services,Mortgage Finance,
AAKASH.NS,AAKASH,Energy,Oil & Gas Equipment & Services,
AAREYDRUGS.NS,AAREYDRUGS,Healthcare,Drug Manufacturers—Specialty & Generic,
AARON.NS,AARON,Industrials,Specialty Industrial Machinery,
AARTECH.NS,AARTECH,Industrials,Electrical Equipment & Parts,
AARTIDRUGS.NS,AARTIDRUGS,Healthcare,Drug Manufacturers—Specialty & Generic,
AARTIIND.NS,AARTIIND,Basic Materials,Specialty Chemicals,
AARTIPHARM.NS,AARTIPHARM,Healthcare,Drug Manufacturers—Specialty & Generic,
AARTISURF.NS,AARTISURF,Basic Materials,Specialty Chemicals,
AARVI.NS,AARVI,Industrials,Staffing & Employment Services,
AAVAS.NS,AAVAS,Financial Services,Mortgage Finance,
ABAN.NS,ABAN,Energy,Oil & Gas Drilling,
ABB.NS,ABB,Industrials,Specialty Industrial Machinery,
ABBOTINDIA.NS,ABBOTINDIA,Healthcare,Drug Manufacturers—Specialty & Generic,
ABCAPITAL.NS,ABCAPITAL,Financial Services,Financial Conglomerates,
ABCOTS.NS,ABCOTS,Consumer Cyclical,Textile Manufacturing,
ABDL.NS,ABDL,Consumer Defensive,Beverages—Wineries & Distilleries,
ABFRL.NS,ABFRL,Consumer Cyclical,Apparel Manufacturing,
ABINFRA.NS,ABINFRA,Industrials,Engineering & Construction,
ABLBL.NS,ABLBL,Consumer Cyclical,Apparel Retail,
ABMINTLLTD.NS,ABMINTLLTD,Basic Materials,Specialty Chemicals,
ABREL.NS,ABREL,Real Estate,Real Estate Services,
ABSLAMC.NS,ABSLAMC,Financial Services,Asset Management,
ACC.NS,ACC,Basic Materials,Building Materials,
ACCELYA.NS,ACCELYA,Technology,Information Technology Services,
ACCURACY.NS,ACCURACY,Industrials,Integrated Freight & Logistics,
ACE.NS,ACE,Industrials,Farm & Heavy Construction Machinery,
