provider_symbol,symbol,sector,industry,source
AABS.KA,AABS,Sugar & Allied Industries,,
AATM.KA,AATM,Textile Spinning,,
ABL.KA,ABL,Commercial Banks,,
ABOT.KA,ABOT,Pharmaceuticals,,
ACPL.KA,ACPL,Cement,,
ADAMS.KA,ADAMS,Sugar & Allied Industries,,
ADMM.KA,ADMM,Textile Composite,,
AGHA.KA,AGHA,Engineering,,
AGIC.KA,AGIC,Insurance,,
AGIL.KA,AGIL,Automobile Parts & Accessories,,
AGL.KA,AGL,Fertilizer,,
AGP.KA,AGP,Pharmaceuticals,,
AGSML.KA,AGSML,Sugar & Allied Industries,,
AGTL.KA,AGTL,Automobile Assembler,,
AHCL.KA,AHCL,Fertilizer,,
AHL.KA,AHL,Inv. Banks / Inv. Cos. / Securities Cos.,,
AHTM.KA,AHTM,Textile Composite,,
AICL.KA,AICL,Insurance,,
AIRLINK.KA,AIRLINK,Technology & Communication,,
AKBL.KA,AKBL,Commercial Banks,,
AKDHL.KA,AKDHL,Miscellaneous,,
AKDSL.KA,AKDSL,Inv. Banks / Inv. Cos. / Securities Cos.,,
AKGL.KA,AKGL,Miscellaneous,,
ALAC.KA,ALAC,Insurance,,
ALIFE.KA,ALIFE,Insurance,,
ALNRS.KA,ALNRS,Sugar & Allied Industries,,
ALTN.KA,ALTN,Power Generation & Distribution,,
AMBL.KA,AMBL,Inv. Banks / Inv. Cos. / Securities Cos.,,
AMTEX.KA,AMTEX,TEXTILE SPINNING,,
ANL.KA,ANL,Textile Composite,,
ANSM.KA,ANSM,Sugar & Allied Industries,,
ANTM.KA,ANTM,Textile Composite,,
APL.KA,APL,Oil & Gas Marketing Companies,,
ARMG.KA,ARMG,Inv. Banks / Inv. Cos. / Securities Cos.,,
ARPAK.KA,ARPAK,Miscellaneous,,
ARPL.KA,ARPL,Chemical,,
ARUJ.KA,ARUJ,TEXTILE COMPOSITE,,
ASC.KA,ASC,FOOD & PERSONAL CARE PRODUCTS,,
ASHT.KA,ASHT,Textile Weaving,,
ASL.KA,ASL,Engineering,,
ASTL.KA,ASTL,Engineering,,
ASTM.KA,ASTM,Textile Spinning,,
ATBA.KA,ATBA,Automobile Parts & Accessories,,
ATIL.KA,ATIL,Insurance,,
ATLH.KA,ATLH,Automobile Assembler,,
ATRL.KA,ATRL,Refinery,,
AVN.KA,AVN,Technology & Communication,,
AWTX.KA,AWTX,TEXTILE SPINNING,,
BAFL.KA,BAFL,Commercial Banks,,
BAFS.KA,BAFS,Sugar & Allied Industries,,
BAHL.KA,BAHL,Commercial Banks,,
BAPL.KA,BAPL,Chemical,,
BATA.KA,BATA,Leather & Tanneries,,
BCL.KA,BCL,Engineering,,
BECO.KA,BECO,Engineering,,
BERG.KA,BERG,Chemical,,
BFAGRO.KA,BFAGRO,Food & Personal Care Products,,
BFBIO.KA,BFBIO,Pharmaceuticals,,
BFMOD.KA,BFMOD,Modarabas,,
BGL.KA,BGL,Glass & Ceramics,,
BHAT.KA,BHAT,Textile Composite,,
BIFO.KA,BIFO,Chemical,,
BIPL.KA,BIPL,Commercial Banks,,
BLUEX.KA,BLUEX,Transport,,
BML.KA,BML,Commercial Banks,,
BNL.KA,BNL,Food & Personal Care Products,,
BNWM.KA,BNWM,Woollen,,
BOK.KA,BOK,Commercial Banks,,
BOP.KA,BOP,Commercial Banks,,
BPL.KA,BPL,Oil & Gas Marketing Companies,,
BRRG.KA,BRRG,Property,,
BTL.KA,BTL,Textile Composite,,
BUXL.KA,BUXL,Chemical,,
BWCL.KA,BWCL,Cement,,
BWHL.KA,BWHL,Automobile Parts & Accessories,,
CCM.KA,CCM,Textile Spinning,,
CENI.KA,CENI,Insurance,,
CEPB.KA,CEPB,"Paper, Board & Packaging",,
CFL.KA,CFL,Textile Spinning,,
CHAS.KA,CHAS,Sugar & Allied Industries,,
CHBL.KA,CHBL,Textile Composite,,
CHCC.KA,CHCC,Cement,,
CJPL.KA,CJPL,JUTE,,
CLOV.KA,CLOV,Food & Personal Care Products,,
CLVL.KA,CLVL,Transport,,
CNERGY.KA,CNERGY,Refinery,,
COLG.KA,COLG,Food & Personal Care Products,,
CPHL.KA,CPHL,Pharmaceuticals,,
CPPL.KA,CPPL,"Paper, Board & Packaging",,
CRTM.KA,CRTM,Textile Composite,,
CSAP.KA,CSAP,Engineering,,
CSIL.KA,CSIL,Insurance,,
CTM.KA,CTM,Textile Spinning,,
DAAG.KA,DAAG,Chemical,,
DADX.KA,DADX,Engineering,,
DBCI.KA,DBCI,CEMENT,,
