symbol,name,yahoo,stockanalysis,has_listing
10X,EXULTANT MINING LIMITED,10X.AX,10X,0
14D,1414 DEGREES LIMITED,14D.AX,14D,0
1AD,ADALTA LIMITED,1AD.AX,1AD,0
1AE,AURORA ENERGY METALS LIMITED,1AE.AX,1AE,0
1AI,ALGORAE PHARMACEUTICALS LIMITED,1AI.AX,1AI,0
1CG,ONE CLICK GROUP LIMITED,1CG.AX,1CG,0
1MC,MORELLA CORPORATION LIMITED,1MC.AX,1MC,0
1TT,THRIVE TRIBE TECHNOLOGIES LIMITED,1TT.AX,1TT,0
29M,29METALS LIMITED,29M.AX,29M,0
360,LIFE360 INC.,360.AX,360,0
3DA,AMAERO INC.,3DA.AX,3DA,0
3DP,POINTERRA LIMITED,3DP.AX,3DP,0
3PL,3P LEARNING LIMITED..,3PL.AX,3PL,0
49M,49 METALS LIMITED,49M.AX,49M,0
4DS,4DS MEMORY LIMITED,4DS.AX,4DS,0
4DX,4DMEDICAL LIMITED,4DX.AX,4DX,0
5GG,PENTANET LIMITED,5GG.AX,5GG,0
5GN,5G NETWORKS LIMITED.,5GN.AX,5GN,0
6KA,"6K ADDITIVE, INC.",6KA.AX,6KA,0
88E,88 ENERGY LIMITED,88E.AX,88E,0
8CO,8COMMON LIMITED,8CO.AX,8CO,0
8IH,8I HOLDINGS LTD,8IH.AX,8IH,0
A11,ATLANTIC LITHIUM LIMITED,A11.AX,A11,0
A1M,AIC MINES LIMITED,A1M.AX,A1M,0
A1N,ARN MEDIA LIMITED,A1N.AX,A1N,0
A2M,THE A2 MILK COMPANY LIMITED,A2M.AX,A2M,0
A3D,AURORA LABS LIMITED,A3D.AX,A3D,0
A4N,ALPHA HPA LIMITED,A4N.AX,A4N,0
A8G,AUSTRALASIAN METALS LIMITED,A8G.AX,A8G,0
AA2,ARIANA RESOURCES PLC,AA2.AX,AA2,0
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AAC.AX,AAC,0
AAI,ALCOA CORPORATION,AAI.AX,AAI,0
AAJ,ARUMA RESOURCES LIMITED,AAJ.AX,AAJ,0
AAL,ALFABS AUSTRALIA LIMITED,AAL.AX,AAL,0
AAM,AUMEGA METALS LTD,AAM.AX,AAM,0
