symbol,name,yahoo,stockanalysis,has_listing
1010,Riyad Bank,1010.SR,1010,0
1060,Saudi British Bank (SABB),1060.SR,1060,0
1120,Al Rajhi Bank,1120.SR,1120,0
1150,Alinma Bank,1150.SR,1150,0
1180,Saudi National Bank,1180.SR,1180,0
1211,Maaden (Saudi Arabian Mining),1211.SR,1211,0
2010,SABIC,2010.SR,2010,0
2020,SABIC Agri-Nutrients,2020.SR,2020,0
2222,Saudi Aramco,2222.SR,2222,0
2280,Almarai,2280.SR,2280,0
2350,Saudi Kayan Petrochemical,2350.SR,2350,0
4001,Abdullah Al Othaim Markets,4001.SR,4001,0
4013,Dr. Sulaiman Al Habib,4013.SR,4013,0
4030,Bahri (National Shipping),4030.SR,4030,0
7010,stc (Saudi Telecom),7010.SR,7010,0
CBQK,Commercial Bank of Qatar,CBQK.SR,CBQK,0
IQCD,Industries Qatar,IQCD.SR,IQCD,0
MARK,Masraf Al Rayan,MARK.SR,MARK,0
ORDS,Ooredoo,ORDS.SR,ORDS,0
QEWS,Qatar Electricity & Water,QEWS.SR,QEWS,0
QFLS,Qatar Fuel (Woqod),QFLS.SR,QFLS,0
QIBK,Qatar Islamic Bank,QIBK.SR,QIBK,0
QNBK,Qatar National Bank,QNBK.SR,QNBK,0
