symbol,name,yahoo,stockanalysis,has_listing
20MICRONS,20 Microns Limited,20MICRONS.NS,20MICRONS,1
21STCENMGM,21st Century Management Services Limited,21STCENMGM.NS,21STCENMGM,1
360ONE,360 ONE WAM LIMITED,360ONE.NS,360ONE,1
3BBLACKBIO,3B Blackbio Dx Limited,3BBLACKBIO.NS,3BBLACKBIO,1
3IINFOLTD,3i Infotech Limited,3IINFOLTD.NS,3IINFOLTD,1
3MINDIA,3M India Limited,3MINDIA.NS,3MINDIA,1
3PLAND,3P Land Holdings Limited,3PLAND.NS,3PLAND,0
5PAISA,5Paisa Capital Limited,5PAISA.NS,5PAISA,1
63MOONS,63 moons technologies limited,63MOONS.NS,63MOONS,1
A2ZINFRA,A2Z Infra Engineering Limited,A2ZINFRA.NS,A2ZINFRA,1
AAATECH,AAA Technologies Limited,AAATECH.NS,AAATECH,1
AADHARHFC,Aadhar Housing Finance Limited,AADHARHFC.NS,AADHARHFC,1
AAKASH,Aakash Exploration Services Limited,AAKASH.NS,AAKASH,1
AARNAV,Aarnav Fashions Limited,AARNAV.NS,AARNAV,1
AARON,Aaron Industries Limited,AARON.NS,AARON,1
AARTIDRUGS,Aarti Drugs Limited,AARTIDRUGS.NS,AARTIDRUGS,1
AARTIIND,Aarti Industries Limited,AARTIIND.NS,AARTIIND,1
AARTIPHARM,Aarti Pharmalabs Limited,AARTIPHARM.NS,AARTIPHARM,1
AARTISURF,Aarti Surfactants Limited,AARTISURF.NS,AARTISURF,1
AARVI,Aarvi Encon Limited,AARVI.NS,AARVI,1
AAVAS,Aavas Financiers Limited,AAVAS.NS,AAVAS,1
ABB,ABB India Limited,ABB.NS,ABB,1
ABBOTINDIA,Abbott India Limited,ABBOTINDIA.NS,ABBOTINDIA,1
ABCAPITAL,Aditya Birla Capital Limited,ABCAPITAL.NS,ABCAPITAL,1
ABCOTS,A B Cotspin India Limited,ABCOTS.NS,ABCOTS,1
ABDL,Allied Blenders and Distillers Limited,ABDL.NS,ABDL,1
ABFRL,Aditya Birla Fashion and Retail Limited,ABFRL.NS,ABFRL,1
ABINFRA,A B Infrabuild Limited,ABINFRA.NS,ABINFRA,1
ABLBL,Aditya Birla Lifestyle Brands Limited,ABLBL.NS,ABLBL,1
ABMINTLLTD,ABM International Limited,ABMINTLLTD.NS,ABMINTLLTD,1
ABMKNO,ABM Knowledgeware Limited,ABMKNO.NS,ABMKNO,1
ABREL,Aditya Birla Real Estate Limited,ABREL.NS,ABREL,1
ABSLAMC,Aditya Birla Sun Life AMC Limited,ABSLAMC.NS,ABSLAMC,1
ACC,ACC Limited,ACC.NS,ACC,1
ACCELYA,Accelya Solutions India Limited,ACCELYA.NS,ACCELYA,1
ACE,Action Construction Equipment Limited,ACE.NS,ACE,1
ACEINTEG,Ace Integrated Solutions Limited,ACEINTEG.NS,ACEINTEG,1
ACI,Archean Chemical Industries Limited,ACI.NS,ACI,1
ACL,Andhra Cements Limited,ACL.NS,ACL,1
ACMESOLAR,Acme Solar Holdings Limited,ACMESOLAR.NS,ACMESOLAR,1
ACSTECH,ACS Technologies Limited,ACSTECH.NS,ACSTECH,1
ACUTAAS,Acutaas Chemicals Limited,ACUTAAS.NS,ACUTAAS,1
ADANIENSOL,Adani Energy Solutions Limited,ADANIENSOL.NS,ADANIENSOL,1
ADANIENT,Adani Enterprises,ADANIENT.NS,ADANIENT,1
ADANIGREEN,Adani Green Energy Limited,ADANIGREEN.NS,ADANIGREEN,1
ADANIPORTS,Adani Ports & SEZ,ADANIPORTS.NS,ADANIPORTS,1
ADANIPOWER,Adani Power Limited,ADANIPOWER.NS,ADANIPOWER,1
ADFFOODS,ADF Foods Limited,ADFFOODS.NS,ADFFOODS,1
ADL,Archidply Decor Limited,ADL.NS,ADL,1
ADOR,Ador Welding Limited,ADOR.NS,ADOR,1
ADROITINFO,Adroit Infotech Limited,ADROITINFO.NS,ADROITINFO,1
ADSL,Allied Digital Services Limited,ADSL.NS,ADSL,1
ADVAIT,Advait Energy Transitions Limited,ADVAIT.NS,ADVAIT,1
ADVANCE,Advance Agrolife Limited,ADVANCE.NS,ADVANCE,1
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,ADVANIHOTR.NS,ADVANIHOTR,1
ADVENTHTL,Advent Hotels International Limited,ADVENTHTL.NS,ADVENTHTL,1
ADVENZYMES,Advanced Enzyme Technologies Limited,ADVENZYMES.NS,ADVENZYMES,1
AEGISLOG,Aegis Logistics Limited,AEGISLOG.NS,AEGISLOG,1
AEGISVOPAK,Aegis Vopak Terminals Limited,AEGISVOPAK.NS,AEGISVOPAK,1
AEPL,Artemis Electricals and Projects Limited,AEPL.NS,AEPL,1
AEQUS,Aequs Limited,AEQUS.NS,AEQUS,1
AEROENTER,Aeroflex Enterprises Limited,AEROENTER.NS,AEROENTER,1
AEROFLEX,Aeroflex Industries Limited,AEROFLEX.NS,AEROFLEX,1
AERONEU,Aeroflex Neu Limited,AERONEU.NS,AERONEU,1
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,AEROPLANE.NS,AEROPLANE,1
AETHER,Aether Industries Limited,AETHER.NS,AETHER,1
AFCONS,Afcons Infrastructure Limited,AFCONS.NS,AFCONS,1
AFFLE,Affle 3i Limited,AFFLE.NS,AFFLE,1
AFIL,Akme Fintrade (India) Limited,AFIL.NS,AFIL,1
AFSL,Abans Financial Services Limited,AFSL.NS,AFSL,1
AGARIND,Agarwal Industrial Corporation Limited,AGARIND.NS,AGARIND,1
AGARWALEYE,Dr. Agarwal's Health Care Limited,AGARWALEYE.NS,AGARWALEYE,1
AGI,AGI Greenpac Limited,AGI.NS,AGI,1
AGIIL,Agi Infra Limited,AGIIL.NS,AGIIL,1
AGROPHOS,Agro Phos India Limited,AGROPHOS.NS,AGROPHOS,1
AHCL,Anlon Healthcare Limited,AHCL.NS,AHCL,1
AHLADA,Ahlada Engineers Limited,AHLADA.NS,AHLADA,1
AHLEAST,Asian Hotels (East) Limited,AHLEAST.NS,AHLEAST,1
AHLUCONT,Ahluwalia Contracts (India) Limited,AHLUCONT.NS,AHLUCONT,1
AIAENG,AIA Engineering Limited,AIAENG.NS,AIAENG,1
AIIL,Authum Investment & Infrastructure Limited,AIIL.NS,AIIL,1
AIRAN,Airan Limited,AIRAN.NS,AIRAN,1
AIROLAM,Airo Lam limited,AIROLAM.NS,AIROLAM,1
AJANTPHARM,Ajanta Pharma Limited,AJANTPHARM.NS,AJANTPHARM,1
AJAXENGG,Ajax Engineering Limited,AJAXENGG.NS,AJAXENGG,1
AJMERA,Ajmera Realty & Infra India Limited,AJMERA.NS,AJMERA,1
AJOONI,Ajooni Biotech Limited,AJOONI.NS,AJOONI,1
AKASH,Akash Infra-Projects Limited,AKASH.NS,AKASH,1
AKCAPIT,AK Capital Services Limited,AKCAPIT.NS,AKCAPIT,1
AKG,Akg Exim Limited,AKG.NS,AKG,1
AKI,AKI India Limited,AKI.NS,AKI,1
AKSHAR,Akshar Spintex Limited,AKSHAR.NS,AKSHAR,1
AKUMS,Akums Drugs and Pharmaceuticals Limited,AKUMS.NS,AKUMS,1
ALANKIT,Alankit Limited,ALANKIT.NS,ALANKIT,1
ALBERTDAVD,Albert David Limited,ALBERTDAVD.NS,ALBERTDAVD,1
ALEMBICLTD,Alembic Limited,ALEMBICLTD.NS,ALEMBICLTD,1
ALGOQUANT,Algoquant Fintech Limited,ALGOQUANT.NS,ALGOQUANT,1
ALICON,Alicon Castalloy Limited,ALICON.NS,ALICON,1
ALIVUS,Alivus Life Sciences Limited,ALIVUS.NS,ALIVUS,1
ALKEM,Alkem Laboratories Limited,ALKEM.NS,ALKEM,1
ALKYLAMINE,Alkyl Amines Chemicals Limited,ALKYLAMINE.NS,ALKYLAMINE,1
ALLCARGO,Allcargo Logistics Limited,ALLCARGO.NS,ALLCARGO,1
ALLDIGI,Alldigi Tech Limited,ALLDIGI.NS,ALLDIGI,1
ALLTIME,All Time Plastics Limited,ALLTIME.NS,ALLTIME,1
ALMONDZ,Almondz Global Securities Limited,ALMONDZ.NS,ALMONDZ,1
ALOKINDS,Alok Industries Limited,ALOKINDS.NS,ALOKINDS,1
ALPA,Alpa Laboratories Limited,ALPA.NS,ALPA,1
ALPHAGEO,Alphageo (India) Limited,ALPHAGEO.NS,ALPHAGEO,1
AMAGI,Amagi Media Labs Limited,AMAGI.NS,AMAGI,1
AMBALALSA,Ambalal Sarabhai Enterprises Limited,AMBALALSA.NS,AMBALALSA,1
AMBER,Amber Enterprises India Limited,AMBER.NS,AMBER,1
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR.NS,AMBICAAGAR,1
AMBIKCO,Ambika Cotton Mills Limited,AMBIKCO.NS,AMBIKCO,1
AMBUJACEM,Ambuja Cements Limited,AMBUJACEM.NS,AMBUJACEM,1
AMDIND,AMD Industries Limited,AMDIND.NS,AMDIND,1
AMJLAND,Amj Land Holdings Limited,AMJLAND.NS,AMJLAND,1
AMNPLST,Amines & Plasticizers Limited,AMNPLST.NS,AMNPLST,1
AMRUTANJAN,Amrutanjan Health Care Limited,AMRUTANJAN.NS,AMRUTANJAN,1
ANANDRATHI,Anand Rathi Wealth Limited,ANANDRATHI.NS,ANANDRATHI,1
ANANTRAJ,Anant Raj Limited,ANANTRAJ.NS,ANANTRAJ,1
ANDHRAPAP,ANDHRA PAPER LIMITED,ANDHRAPAP.NS,ANDHRAPAP,1
ANDHRSUGAR,The Andhra Sugars Limited,ANDHRSUGAR.NS,ANDHRSUGAR,1
ANGELONE,Angel One Limited,ANGELONE.NS,ANGELONE,1
ANIKINDS,Anik Industries Limited,ANIKINDS.NS,ANIKINDS,1
ANMOL,Anmol India Limited,ANMOL.NS,ANMOL,1
ANTELOPUS,Antelopus Selan Energy Limited,ANTELOPUS.NS,ANTELOPUS,1
ANTGRAPHIC,Antarctica Limited,ANTGRAPHIC.NS,ANTGRAPHIC,1
ANTHEM,Anthem Biosciences Limited,ANTHEM.NS,ANTHEM,1
ANUHPHR,Anuh Pharma Limited,ANUHPHR.NS,ANUHPHR,1
ANUP,The Anup Engineering Limited,ANUP.NS,ANUP,1
ANURAS,Anupam Rasayan India Limited,ANURAS.NS,ANURAS,1
APARINDS,Apar Industries Limited,APARINDS.NS,APARINDS,1
APCL,Anjani Portland Cement Limited,APCL.NS,APCL,1
APCOTEXIND,Apcotex Industries Limited,APCOTEXIND.NS,APCOTEXIND,1
APEX,Apex Frozen Foods Limited,APEX.NS,APEX,1
APLAPOLLO,APL Apollo Tubes Limited,APLAPOLLO.NS,APLAPOLLO,1
APLLTD,Alembic Pharmaceuticals Limited,APLLTD.NS,APLLTD,1
APOLLO,Apollo Micro Systems Limited,APOLLO.NS,APOLLO,1
APOLLOHOSP,Apollo Hospitals,APOLLOHOSP.NS,APOLLOHOSP,1
