symbol,name,yahoo,stockanalysis,has_listing
786,786 Investment Limited,786.KA,786,1
AABS,Al-Abbas Sugar Mills Limited,AABS.KA,AABS,1
AATM,Ali Asghar Textile Mills Limited,AATM.KA,AATM,1
ABL,Allied Bank Limited,ABL.KA,ABL,1
ABOT,Abbott Laboratories (Pakistan) Limited,ABOT.KA,ABOT,1
ACPL,Attock Cement Pakistan Limited,ACPL.KA,ACPL,1
ADAMS,Adam Sugar Mills Limited,ADAMS.KA,ADAMS,1
ADMM,Artistic Denim Mills Limited,ADMM.KA,ADMM,1
AGHA,Agha Steel Ind.Ltd,AGHA.KA,AGHA,1
AGIC,Askari General Insurance Company Limited,AGIC.KA,AGIC,1
AGIL,Agriauto Industries Limited,AGIL.KA,AGIL,1
AGL,Agritech Limited,AGL.KA,AGL,1
AGP,AGP Limited,AGP.KA,AGP,1
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,AGSML.KA,AGSML,1
AGTL,Al-Ghazi Tractors Limited,AGTL.KA,AGTL,1
AHCL,Arif Habib Corporation Limited,AHCL.KA,AHCL,1
AHL,Arif Habib Limited,AHL.KA,AHL,1
AHTM,Ahmad Hassan Textile Mills Limited,AHTM.KA,AHTM,1
AICL,Adamjee Insurance Company Limited,AICL.KA,AICL,1
AIRLINK,Air Link Communication Limited,AIRLINK.KA,AIRLINK,1
AKBL,Askari Bank Limited,AKBL.KA,AKBL,1
AKDHL,AKD Hospitality Limited,AKDHL.KA,AKDHL,1
AKDSL,AKD Securities Limited,AKDSL.KA,AKDSL,1
AKGL,Al-Khair Gadoon Limited,AKGL.KA,AKGL,1
ALAC,Askari Life Assurance Company Limited,ALAC.KA,ALAC,1
ALIFE,Adamjee Life Assurance Company Limited,ALIFE.KA,ALIFE,1
ALNRS,Al-Noor Sugar Mills Limited,ALNRS.KA,ALNRS,1
ALTN,Altern Energy Limited,ALTN.KA,ALTN,1
AMBL,Apna Microfinance Bank Limited,AMBL.KA,AMBL,1
AMTEX,Amtex Limited,AMTEX.KA,AMTEX,1
ANL,Azgard Nine Limited,ANL.KA,ANL,1
ANSM,Ansari Sugar Mills Limited,ANSM.KA,ANSM,1
ANTM,AN Textile Mills Limited,ANTM.KA,ANTM,1
APL,Attock Petroleum Limited,APL.KA,APL,1
ARCTM,Arctic Textile Mills Limited,ARCTM.KA,ARCTM,1
ARMG,ARM Green Industries Limited,ARMG.KA,ARMG,1
ARPAK,Arpak International Investments Ltd.,ARPAK.KA,ARPAK,1
ARPL,Archroma Pakistan Limited,ARPL.KA,ARPL,1
ARUJ,Aruj Industries Limited,ARUJ.KA,ARUJ,1
ASC,Al Shaheer Corporation Limited,ASC.KA,ASC,1
ASHT,Ashfaq Textile Mills Limited,ASHT.KA,ASHT,1
ASIC,Asia Insurance Company Limited,ASIC.KA,ASIC,1
ASL,Aisha Steel Mills Limited,ASL.KA,ASL,1
ASTL,Amreli Steels Limited,ASTL.KA,ASTL,1
ASTM,Asim Textile Mills Limited,ASTM.KA,ASTM,1
ATBA,Atlas Battery Limited,ATBA.KA,ATBA,1
ATIL,Atlas Insurance Limited,ATIL.KA,ATIL,1
ATLH,Atlas Honda Limited,ATLH.KA,ATLH,1
ATRL,Attock Refinery Limited,ATRL.KA,ATRL,1
AVN,Avanceon Limited,AVN.KA,AVN,1
AWTX,Allawasaya Tex. & Finishing Mills Ltd,AWTX.KA,AWTX,1
BAFL,Bank Alfalah Limited,BAFL.KA,BAFL,1
BAFS,Baba Farid Sugar Mills Limited,BAFS.KA,BAFS,1
BAHL,Bank AL Habib Limited,BAHL.KA,BAHL,1
BAPL,Bawany Air Products Limited,BAPL.KA,BAPL,1
BATA,Bata Pakistan Limited,BATA.KA,BATA,1
BCL,Bolan Castings Limited,BCL.KA,BCL,1
BECO,Beco Steel Limited,BECO.KA,BECO,1
BELA,Bela Automotives Ltd.,BELA.KA,BELA,1
BERG,Berger Paints Pakistan Limited,BERG.KA,BERG,1
BFAGRO,Barkat Frisian Agro Limited,BFAGRO.KA,BFAGRO,1
BFBIO,BF Biosciences Limited,BFBIO.KA,BFBIO,1
BFMOD,B.F. Modaraba,BFMOD.KA,BFMOD,1
BGL,Baluchistan Glass Limited,BGL.KA,BGL,1
BHAT,Bhanero Textile Mills Limited,BHAT.KA,BHAT,1
BIFO,Biafo Industries Limited,BIFO.KA,BIFO,1
BIPL,BankIslami Pakistan Limited,BIPL.KA,BIPL,1
