symbol,name
10X,Exultant Mining Limited
14D,1414 Degrees Limited
1AD,AdAlta Limited
1AE,Aurora Energy Metals Limited
1AI,Algorae Pharmaceuticals Limited
1CG,One Click Group Limited
1MC,Morella Corporation Limited
1TT,Thrive Tribe Technologies Limited
29M,29Metals Limited
360,"Life360, Inc."
3DA,Amaero Inc.
3DP,Pointerra Limited
3PL,3P Learning Limited
49M,49 Metals Limited
4DS,4DS Memory Limited
4DX,4DMedical Limited
5GG,Pentanet Limited
5GN,5G Networks Limited
6KA,"6K Additive, Inc."
88E,88 Energy Limited
8CO,8common Limited
8IH,8I Holdings Limited
A11,Atlantic Lithium Limited
A1M,AIC Mines Limited
A1N,ARN Media Limited
A2M,The a2 Milk Company Limited
A3D,Aurora Labs Limited
A4N,Alpha HPA Limited
A8G,Australasian Metals Limited
AA2,Ariana Resources plc
AAC,Australian Agricultural Company Limited
AAI,Alcoa Corporation
AAJ,Aruma Resources Limited
AAJOA,Aruma Resources Limited
AAL,Alfabs Australia Limited
AAM,AuMEGA Metals Ltd
AAP,Australian Agricultural Projects Ltd
AAR,Astral Resources NL
AAU,Antilles Gold Limited
ABB,Aussie Broadband Limited
ABE,Australian Bond Exchange Holdings Limited
ABG,Abacus Group
ABR,Albright Metals Ltd
ABV,Advanced Braking Technology Limited
ABX,ABx Group Limited
ABY,Adore Beauty Group Limited
ACE,Acusensus Limited
ACF,Acrow Limited
ACL,Australian Clinical Labs Limited
ACM,Australian Critical Minerals Limited
ACMOA,Australian Critical Minerals Limited
ACP,Audalia Resources Limited
ACR,Acrux Limited
ACS,Accent Resources NL
ACU,Acumentis Group Limited
ACW,Actinogen Medical Limited
AD1,AdNeo Limited
AD8,Audinate Group Limited
ADC,ACDC Metals Limited
ADD,Adavale Resources Limited
ADH,Adairs Limited
ADN,Andromeda Metals Limited
ADNOD,Andromeda Metals Limited
ADO,AnteoTech Limited
ADR,Adherium Limited
ADS,Adslot Limited
ADX,ADX Energy Ltd
ADY,Admiralty Resources NL
AEE,Aura Energy Limited
AEF,Australian Ethical Investment Limited
AEG,Aland Equity Group Limited
AEI,Aeris Environmental Ltd
AEL,Amplitude Energy Limited
AEM,Advanced Engineered Materials Ltd
AER,Aeeris Limited
AEU,Atomic Eagle Limited
AEV,Avenira Limited
AFA,ASF Group Limited
AFG,Australian Finance Group Limited
AFI,Australian Foundation Investment Company Limited
AFL,AF Legal Group Limited
AFP,AFT Pharmaceuticals Limited
AGC,Australian Gold and Copper Limited
AGD,Austral Gold Limited
AGE,Alligator Energy Limited
AGI,Ainsworth Game Technology Limited
AGL,AGL Energy Limited
AGN,Argenica Therapeutics Limited
AGR,Aguia Resources Limited
AGRO,Aguia Resources Limited
AGY,Argosy Minerals Limited
AHC,Austco Healthcare Limited
AHE,Adheris Health Limited
AHF,Australian Dairy Nutritionals Limited
AHK,Ark Mines Limited
AHL,Adrad Holdings Limited
AHN,Athena Resources Limited
AI1,Adisyn Ltd
AIA,Auckland International Airport Limited
AIH,Advanced Innergy Holdings Limited
AII,Almonty Industries Inc.
AIM,Ai-Media Technologies Limited
AIS,Aeris Resources Limited
AIV,ActivEX Limited
AIZ,Air New Zealand Limited
AJL,AJ Lucas Group Limited
AJX,Alexium International Group Limited
AKA,Aureka Limited
AKG,Academies Australasia Group Limited
AKM,Aspire Mining Limited
AKN,AuKing Mining Limited
AKO,AKORA Resources Limited
AL3,AML3D Limited
ALA,Arovella Therapeutics Limited
ALB,Albion Resources Limited
ALC,Alcidion Group Limited
ALD,Ampol Limited
ALK,Alkane Resources Ltd
ALL,Aristocrat Leisure Limited
ALM,Alma Metals Limited
ALQ,ALS Limited
ALR,Altair Minerals Limited
ALU,Alurion Resources Limited
ALV,Alvo Minerals Limited
ALX,Atlas Arteria Limited
ALY,Alchemy Resources Limited
AM3,Amara Minerals Limited
AM3OA,Amara Minerals Limited
AM5,Antares Metals Limited
AM7,Arcadia Minerals Limited
AMA,AMA Group Limited
AMC,Amcor plc
AMD,Arrow Minerals Limited
AME,Alto Metals Pty Ltd
AMH,AMCIL Limited
AMI,Aurelia Metals Limited
AMN,Agrimin Limited
AMO,Ambertech Limited
AMP,AMP Limited
AMS,Atomos Limited
AMU,American Uranium Limited
AMX,Aerometrex Limited
AN1,Anagenics Limited
ANG,Austin Engineering Limited
ANN,Ansell Limited
ANO,Advance ZincTek Limited
ANR,Anatara Lifesciences Ltd
ANX,Anax Metals Limited
ANZ,ANZ Group Holdings Limited
AOA,Ausmon Resources Limited
AOK,Australian Oil Company Limited
AON,Apollo Minerals Limited
AOV,Amotiv Limited
APA,APA Group
APC,APC Minerals Limited
APE,Eagers Automotive Limited
APL,Associate Global Partners Limited
APW,Aims Property Securities Fund
APX,Appen Limited
APZ,Aspen Group
AQC,Australian Pacific Coal Limited
AQD,AusQuest Limited
AQN,Aquirian Limited
AQX,Alice Queen Limited
AQZ,Alliance Aviation Services Limited
AR1,Austral Resources Australia Ltd
AR3,Australian Rare Earths Limited
AR9,archTIS Limited
ARA,Ariadne Australia Limited
ARB,ARB Corporation Limited
ARC,ARC Funds Limited
ARD,Argent Minerals Limited
ARF,Arena REIT
ARG,Argo Investments Limited
ARI,Arika Resources Limited
ARL,Ardea Resources Limited
ARN,Aldoro Resources Limited
ARO,Altoro Metals Limited
ARR,American Rare Earths Limited
ART,Airtasker Limited
ARU,Arafura Rare Earths Limited
ARV,Artemis Resources Limited
ARX,Aroa Biosurgery Limited
AS1,Asara Resources Limited
AS2,Askari Metals Limited
ASB,Austal Limited
ASG,Autosports Group Limited
ASH,Ashley Services Group Limited
ASL,Andean Silver Limited
ASM,Australian Strategic Materials Ltd
ASN,Anson Resources Limited
ASP,Aspermont Limited
ASQ,Australian Silica Quartz Group Ltd.
ASV,Asset Vision Co Limited
ASX,ASX Limited
AT1,Atomo Diagnostics Limited
AT4,American Tungsten and Antimony Ltd
AT4OD,American Tungsten and Antimony Ltd
ATA,Atturra Limited
ATC,Altech Batteries Limited
ATCO,Altech Batteries Limited
ATG,Articore Group Limited
ATH,Alterity Therapeutics Limited
ATM,PT Antam (Persero) Tbk
ATP,Atlas Pearls Limited
ATR,Astron Corporation Limited
ATS,Australis Oil & Gas Limited
ATT,Altitude Minerals Ltd
ATV,ActivePort Group Ltd
ATX,Amplia Therapeutics Limited
AU1,The Agency Group Australia Limited
AUA,Audeara Limited
AUB,AUB Group Limited
AUC,Ausgold Limited
AUE,Aurum Resources Limited
AUG,Augustus Minerals Ltd
AUI,Australian United Investment Company Limited
AUQ,Alara Resources Limited
AUR,Auris Minerals Limited
AUV,Auravelle Metals Limited
AUZ,Australian Mines Limited
AV1,Adveritas Limited
AVA,AVA Risk Group Limited
AVD,AVADA Group Limited
AVE,Avecho Biotechnology Limited
AVG,Australian Vintage Ltd
AVH,"AVITA Medical, Inc."
AVL,Australian Vanadium Limited
AVM,Advance Metals Limited
AVR,Anteris Technologies Global Corp.
AVW,Avira Resources Limited
AW1,American West Metals Limited
AWJ,Auric Mining Limited
AX1,Accent Group Limited
AX8,Accelerate Resources Limited
AXE,Archer Materials Limited
AXI,Axtec Limited
AXL,Axel REE Limited
AXN,Alliance Nickel Limited
AXP,AXP Energy Limited
AXQ,"Aura Consolidated Group, Inc."
AYA,Artrya Limited
AYM,Australia United Mining Limited
AYT,Austin Metals Limited
AZ9,Azzuro Resources PLC
AZI,Altamin Limited
AZJ,Aurizon Holdings Limited
AZY,Antipa Minerals Limited
B4P,Beforepay Group Limited
BAK,Barkly Rare Earths Limited
BAKO,Barkly Rare Earths Limited
BAP,Bapcor Limited
BAS,Bass Oil Limited
BB1,BlinkLab Limited
BBC,BNK Banking Corporation Limited
BBL,Brisbane Broncos Limited
BBN,Baby Bunting Group Limited
BBT,Betr Entertainment Limited
BC8,Black Cat Syndicate Limited
BCA,Black Canyon Limited
BCC,Beam Communications Holdings Limited
BCI,BCI Minerals Limited
BCK,Brockman Mining Limited
BCM,Brazilian Critical Minerals Limited
BCN,Beacon Minerals Limited
BDM,Burgundy Diamond Mines Limited
BDX,BCAL Diagnostics Limited
BEL,Bentley Capital Limited
BEN,Bendigo and Adelaide Bank Limited
BEO,Beonic Limited
BET,Betmakers Technology Group Ltd
BEZ,Besra Gold Inc.
BFG,Bell Financial Group Limited
BFL,BSP Financial Group Limited
BGA,Bega Cheese Limited
BGD,Barton Gold Holdings Limited
BGE,Bridge SaaS Limited
BGL,Bellevue Gold Limited
BGP,Briscoe Group Limited
BGT,Bio-Gene Technology Limited
BHD,Benjamin Hornigold Limited
BHL,Black Horse Mining Limited
BHM,Broken Hill Mines Limited
BHP,BHP Group Limited
BIM,Bindi Metals Limited
BIO,Biome Australia Limited
BIS,Bisalloy Steel Group Limited
BIT,Biotron Limited
BITO,Biotron Limited
BKB,Black Bear Minerals Limited
BKI,BKI Investment Company Limited
BKT,Black Rock Mining Limited
BKY,Berkeley Energia Limited
BLG,BluGlass Limited
BLS,BLS Pharmaceuticals Limited
BLU,Blue Energy Limited
BLX,Beacon Lighting Group Limited
BLZ,Blaze Minerals Limited
BM1,Ballard Mining Limited
BM8,Battery Age Minerals Ltd
BMC,BMC Minerals Limited
BMH,Baumart Holdings Limited
BML,Boab Metals Limited
BMM,Bayan Mining and Minerals Limited
BMMO,Bayan Mining and Minerals Limited
BMN,Bannerman Energy Ltd
BMR,Ballymore Resources Limited
BMT,Beamtree Holdings Limited
BNDS,Betashares Legg Mason Australian Bond Fund
BNL,Blue Star Helium Limited
BNR,Bulletin Resources Limited
BNZ,Benz Mining Corp.
BOA,BOA Resources Limited
BOC,Bougainville Copper Limited
BOE,Boss Energy Limited
BOL,Boom Logistics Limited
BOQ,Bank of Queensland Limited
BOT,Botanix Pharmaceuticals Limited
BP8,BPH Global Ltd
BPG,Black Pearl Group Limited
BPH,BPH Energy Limited
BPM,BPM Minerals Limited
BPP,Babylon Pump & Power Limited
BPT,Beach Energy Limited
BRE,Brazilian Rare Earths Limited
BRG,Breville Group Limited
BRI,Big River Industries Limited
BRK,Brookside Energy Limited
BRL,Bathurst Resources Limited
BRN,BrainChip Holdings Ltd
BRU,Buru Energy Limited
BRY,Barys Resources Limited
BSA,BSA Limited
BSL,BlueScope Steel Limited
BSN,Basin Energy Limited
BSR,Bison Resources Limited
BST,Boresight Ltd
BSX,Blackstone Minerals Limited
BTE,Botala Energy Limited
BTI,Bailador Technology Investments Limited
BTL,Beetaloo Energy Australia Limited
BTM,Breakthrough Minerals Limited
BTN,Butn Limited
BTR,Brightstar Resources Limited
