symbol,name
AIRARABIA,AIRARABIA
AJMANBANK,AJMANBANK
ALANSARI,ALANSARI
ALEC,ALEC
ALFIRDOUS,ALFIRDOUS
ALRAMZ,ALRAMZ
ALSALAMSUDAN,ALSALAMSUDAN
AMAN,AMAN
AMANAT,AMANAT
AMLAK,AMLAK
ARMX,ARMX
BHMCAPITAL,BHMCAPITAL
CBD,CBD
DEWA,DEWA
DEYAAR,DEYAAR
DFM,DFM
DIB,DIB
DIC,DIC
DIN,DIN
DNIR,DNIR
DRC,DRC
DSI,DSI
DTC,DTC
DU,DU
DUBAIRESI,DUBAIRESI
EIBANK,EIBANK
EMAAR,EMAAR
EMAARDEV,EMAARDEV
EMIRATESNBD,EMIRATESNBD
EMPOWER,EMPOWER
ERC,ERC
ETIHADENERGY,ETIHADENERGY
MASQ,MASQ
NCC,NCC
NGI,NGI
PARKIN,PARKIN
SALAMA,SALAMA
SALIK,SALIK
SHUAA,SHUAA
SPINNEYS,SPINNEYS
SUKOON,SUKOON
SUKOONTAKAFL,SUKOONTAKAFL
TAALEEM,TAALEEM
TABREED,TABREED
TALABAT,TALABAT
TECOM,TECOM
UFC,UFC
UNIKAI,UNIKAI
UNIONCOOP,UNIONCOOP
UPP,UPP
WATANIA,WATANIA
