symbol,name
1010,1010
1020,1020
1030,1030
1050,1050
1060,1060
1080,1080
1111,1111
1120,1120
1140,1140
1150,1150
1180,1180
1182,1182
1183,1183
1201,1201
1202,1202
1210,1210
1211,1211
1212,1212
1213,1213
1214,1214
1301,1301
1302,1302
1303,1303
1304,1304
1320,1320
1321,1321
1322,1322
1323,1323
1324,1324
1810,1810
1820,1820
1830,1830
1831,1831
1832,1832
1833,1833
1834,1834
1835,1835
2001,2001
2010,2010
2020,2020
2030,2030
2040,2040
2050,2050
2060,2060
2070,2070
2080,2080
2081,2081
2082,2082
2083,2083
2084,2084
2090,2090
2100,2100
2110,2110
2120,2120
2130,2130
2140,2140
2150,2150
2160,2160
2170,2170
2180,2180
2190,2190
2200,2200
2210,2210
2220,2220
2222,2222
2223,2223
2230,2230
2240,2240
2250,2250
2270,2270
2280,2280
2281,2281
2282,2282
2283,2283
2284,2284
2285,2285
2286,2286
2287,2287
2288,2288
2290,2290
2300,2300
2310,2310
2320,2320
2330,2330
2340,2340
2350,2350
2360,2360
2370,2370
2380,2380
2381,2381
2382,2382
3002,3002
3003,3003
3004,3004
3005,3005
3007,3007
3008,3008
3010,3010
3020,3020
3030,3030
3040,3040
3050,3050
3060,3060
3080,3080
3090,3090
3091,3091
3092,3092
4001,4001
4002,4002
4003,4003
4004,4004
4005,4005
4006,4006
4007,4007
4008,4008
4009,4009
4011,4011
4012,4012
4013,4013
4014,4014
4015,4015
4016,4016
4017,4017
4018,4018
4019,4019
4020,4020
4021,4021
4030,4030
4031,4031
4040,4040
4050,4050
4051,4051
4061,4061
4070,4070
4071,4071
4072,4072
4080,4080
4081,4081
4082,4082
4083,4083
4084,4084
4090,4090
4100,4100
4110,4110
4130,4130
4140,4140
4141,4141
4142,4142
4143,4143
4144,4144
4145,4145
4146,4146
4147,4147
4148,4148
4150,4150
4160,4160
4161,4161
4162,4162
4163,4163
4164,4164
4165,4165
4170,4170
4180,4180
4190,4190
4191,4191
4192,4192
4193,4193
4194,4194
4200,4200
4210,4210
4220,4220
4230,4230
4240,4240
4250,4250
4260,4260
4261,4261
4262,4262
4263,4263
4264,4264
4265,4265
4270,4270
4280,4280
4290,4290
4291,4291
4292,4292
4300,4300
4310,4310
4320,4320
4321,4321
4322,4322
4323,4323
4324,4324
4325,4325
4326,4326
4327,4327
4330,4330
4331,4331
4333,4333
4335,4335
4336,4336
4340,4340
4344,4344
5110,5110
6001,6001
6002,6002
6004,6004
6010,6010
6012,6012
6013,6013
6014,6014
6016,6016
6017,6017
6018,6018
6019,6019
6020,6020
6040,6040
6050,6050
6060,6060
6070,6070
6090,6090
7010,7010
7020,7020
7030,7030
7040,7040
7200,7200
7201,7201
7202,7202
7203,7203
7204,7204
7205,7205
7211,7211
8010,8010
8012,8012
8020,8020
8030,8030
8040,8040
8050,8050
8060,8060
8070,8070
8100,8100
8120,8120
8150,8150
8160,8160
8170,8170
8180,8180
8190,8190
8200,8200
8210,8210
8230,8230
8240,8240
8250,8250
8260,8260
8280,8280
8300,8300
8310,8310
8311,8311
8313,8313
9510,9510
9513,9513
9514,9514
9515,9515
9516,9516
9517,9517
9521,9521
9522,9522
9523,9523
9524,9524
9527,9527
9530,9530
9532,9532
9533,9533
9535,9535
9536,9536
9537,9537
9538,9538
9539,9539
9540,9540
9541,9541
9542,9542
9543,9543
9544,9544
9545,9545
9546,9546
9547,9547
9548,9548
9549,9549
9550,9550
9551,9551
9552,9552
9553,9553
9555,9555
9557,9557
9558,9558
9559,9559
9560,9560
9561,9561
9562,9562
9563,9563
9564,9564
9565,9565
9566,9566
9567,9567
9568,9568
9569,9569
9570,9570
9571,9571
9572,9572
9574,9574
9575,9575
9576,9576
9577,9577
9578,9578
9579,9579
9580,9580
9581,9581
9583,9583
9584,9584
9585,9585
9586,9586
9587,9587
9588,9588
9589,9589
9590,9590
9591,9591
9593,9593
9594,9594
9595,9595
9596,9596
9597,9597
9598,9598
9599,9599
9600,9600
9601,9601
9602,9602
9603,9603
9605,9605
9606,9606
9607,9607
9608,9608
9609,9609
9610,9610
9611,9611
9612,9612
9613,9613
9614,9614
9615,9615
9616,9616
9617,9617
9618,9618
9619,9619
9620,9620
9621,9621
9622,9622
9623,9623
9624,9624
9625,9625
9626,9626
9627,9627
9628,9628
9630,9630
9631,9631
9632,9632
9633,9633
9634,9634
9635,9635
9636,9636
9637,9637
9639,9639
9640,9640
9641,9641
9642,9642
9644,9644
9645,9645
9647,9647
9648,9648
9649,9649
9651,9651
9653,9653
9655,9655
