symbol,name,sector,industry
20MICRONS,20 Microns Limited,,
21STCENMGM,Twentyfirst Century Management Services Limited,,
360ONE,360 One Wam Limited,,
3BBLACKBIO,3B Blackbio Dx Limited,,
3IINFOLTD,3i Infotech Limited,,
3MINDIA,3M India Limited,,
5PAISA,5paisa Capital Limited,,
63MOONS,63 moons technologies limited,,
A2ZINFRA,A2Z Infra Engineering Limited,,
AAATECH,AAA Technologies Limited,,
AADHARHFC,Aadhar Housing Finance Limited,,
AAKAAR,Aakaar Medical Technologies Ltd.,,
AAKASH,Aakash Exploration Services Limited,,
AARADHYA,Aaradhya Disposal Industries Limited,,
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,
AARNAV,Aarnav Fashions Limited,,
AARON,Aaron Industries Limited,,
AARTECH,Aartech Solonics Limited,,
AARTIDRUGS,Aarti Drugs Limited,,
AARTIIND,Aarti Industries Limited,,
AARTIPHARM,Aarti Pharmalabs Limited,,
AARTISURF,Aarti Surfactants Limited,,
AARVI,Aarvi Encon Limited,,
AASTHA,Aastha Spintex Limited,,
AATMAJ,Aatmaj Healthcare Limited,,
AAVAS,Aavas Financiers Limited,,
ABAN,Aban Offshore Limited,,
ABANSENT,ABans Enterprises Limited,,
ABB,ABB India Limited,,
ABBOTINDIA,Abbott India Limited,,
ABCAPITAL,Aditya Birla Capital Limited,,
ABCOTS,A B Cotspin India Limited,,
ABDL,Allied Blenders and Distillers Limited,,
ABFRL,Aditya Birla Fashion and Retail Limited,,
ABHAPOWER,Abha Power and Steel Limited,,
ABINFRA,A B Infrabuild Limited,,
ABLBL,Aditya Birla Lifestyle Brands Limited,,
ABMINTLLTD,ABM International Limited,,
ABMKNO,ABM Knowledgeware Limited,,
ABREL,Aditya Birla Real Estate Limited,,
ABSLAMC,Aditya Birla Sun Life AMC Limited,,
ABSMARINE,ABS Marine Services Limited,,
ACC,ACC Limited,,
ACCELYA,Accelya Solutions India Limited,,
ACCENTMIC,Accent Microcell Limited,,
ACCORD,Accord Synergy Limited,,
ACCPL,Accretion Pharmaceuticals Limited,,
ACCURACY,Accuracy Shipping Limited,,
ACE,Action Construction Equipment Limited,,
ACEINTEG,Ace Integrated Solutions Limited,,
ACETEC,Acetech E-Commerce Limited,,
ACI,Archean Chemical Industries Limited,,
ACL,Andhra Cements Limited,,
ACMESOLAR,ACME Solar Holdings Limited,,
ACSTECH,ACS Technologies Limited,,
ACTIVEINFR,Active Infrastructures Limited,,
ACUTAAS,Acutaas Chemicals Limited,,
ADANIENSOL,Adani Energy Solutions Limited,,
ADANIENT,Adani Enterprises Limited,,
ADANIGREEN,Adani Green Energy Limited,,
ADANIPORTS,Adani Ports and Special Economic Zone Limited,,
ADANIPOWER,Adani Power Limited,,
ADDICTIVE,Addictive Learning Technology Limited,,
ADFFOODS,ADF Foods Limited,,
ADISOFT,Adisoft Technologies Limited,,
ADL,Archidply Decor Limited,,
ADOR,Ador Welding Limited,,
ADROITINFO,Adroit Infotech Limited,,
ADSL,Allied Digital Services Limited,,
ADVAIT,Advait Energy Transitions Limited,,
ADVANCE,Advance Agrolife Limited,,
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,,
ADVENTHTL,Advent Hotels International Limited,,
ADVENZYMES,Advanced Enzyme Technologies Limited,,
AEGISLOG,Aegis Logistics Limited,,
AEGISVOPAK,Aegis Vopak Terminals Limited,,
AEPL,Artemis Electricals and Projects Limited,,
AEQUS,Aequs Limited,,
AEROENTER,Aeroflex Enterprises Limited,,
AEROFLEX,Aeroflex Industries Limited,,
AERON,Aeron Composite Limited,,
AERONEU,Aeroflex Neu Limited,,
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,,
AESTHETIK,Aesthetik Engineers Limited,,
AETHER,Aether Industries Limited,,
AFCONS,Afcons Infrastructure Limited,,
AFFLE,Affle 3i Limited,,
AFFORDABLE,Affordable Robotic & Automation Limited,,
AFIL,Akme Fintrade (India) Limited,,
AFSL,Abans Financial Services Limited,,
