symbol,name,sector,industry
786,786 Investment Limited,,
AABS,Al-Abbas Sugar Mills Limited,,
AATM,Ali Asghar Textile Mills Limited,,
ABL,Allied Bank Limited,,
ABOT,Abbott Laboratories (Pakistan) Limited,,
ACPL,Attock Cement Pakistan Limited,,
ADAMS,Adam Sugar Mills Limited,,
ADMM,Artistic Denim Mills Limited,,
AGHA,Agha Steel Industries Limited,,
AGIC,Askari General Insurance Company Limited,,
AGIL,Agriauto Industries Limited,,
AGL,Agritech Limited,,
AGP,AGP Limited,,
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,,
AGTL,Al-Ghazi Tractors Limited,,
AHCL,Arif Habib Corporation Limited,,
AHL,Arif Habib Limited,,
AHTM,Ahmad Hassan Textile Mills Limited,,
AICL,Adamjee Insurance Company Limited,,
AIRLINK,Air Link Communication Limited,,
AKBL,Askari Bank Limited,,
AKDHL,AKD Hospitality Limited,,
AKDSL,AKD Securities Limited,,
AKGL,Al-Khair Gadoon Limited,,
ALAC,Askari Life Assurance Company Limited,,
ALIFE,Adamjee Life Assurance Company Limited,,
ALNRS,Al-Noor Sugar Mills Limited,,
ALTN,Altern Energy Limited,,
AMBL,Apna Microfinance Bank Limited,,
AMTEX,Amtex Limited,,
ANL,Azgard Nine Limited,,
ANLNV,Azgard Nine Limited,,
ANSM,Ansari Sugar Mills Limited,,
ANTM,AN Textile Mills Limited,,
APL,Attock Petroleum Limited,,
ARCTM,Arctic Textile Mills Limited,,
ARMG,ARM Green Industries Limited,,
ARPAK,Arpak International Investments Limited,,
ARPL,Archroma Pakistan Limited,,
ARUJ,Aruj Industries Limited,,
ASC,Al Shaheer Corporation Limited,,
ASHT,Ashfaq Textile Mills Limited,,
ASIC,Asia Insurance Company Limited,,
ASL,Aisha Steel Mills Limited,,
ASTL,Amreli Steels Limited,,
ASTM,Asim Textile Mills Limited,,
ATBA,Atlas Battery Limited,,
ATIL,Atlas Insurance Limited,,
ATLH,Atlas Honda Limited,,
ATRL,Attock Refinery Limited,,
AVN,Avanceon Limited,,
AWTX,Allawasaya Textile & Finishing Mills Limited,,
BAFL,Bank Alfalah Limited,,
BAFS,Baba Farid Sugar Mills Limited,,
BAHL,Bank AL Habib Limited,,
BAPL,Bawany Air Products Limited,,
BATA,Bata Pakistan Limited,,
BBFL,Big Bird Foods Limited,,
BCL,Bolan Castings Limited,,
BECO,Beco Steel Limited,,
BELA,Bela Automotives Ltd.,,
BERG,Berger Paints Pakistan Limited,,
BFAGRO,Barkat Frisian Agro Limited,,
BFBIO,BF Biosciences Limited,,
BFMOD,B.F. Modaraba,,
BGL,Balochistan Glass Limited,,
BHAT,Bhanero Textile Mills Limited,,
BIFO,Biafo Industries Limited,,
BIPL,BankIslami Pakistan Limited,,
BLUEX,Blue-Ex Limited,,
BML,Bank Makramah Limited,,
BNL,Bunny's Limited,,
BNWM,Bannu Woollen Mills Limited,,
BOK,The Bank of Khyber,,
BOP,The Bank of Punjab,,
BPL,Burshane LPG (Pakistan) Limited,,
BRRG,BRR Guardian Limited,,
BTL,Blessed Textiles Limited,,
BUXL,Buxly Paints Limited,,
BWCL,Bestway Cement Limited,,
BWHL,Baluchistan Wheels Limited,,
CCM,Crescent Cotton Mills Limited,,
CENI,Century Insurance Company Limited,,
CEPB,Century Paper & Board Mills Limited,,
CFL,Crescent Fibres Limited,,
CHAS,Chashma Sugar Mills Limited,,
CHBL,Chenab Limited,,
